"Day","Account","Campaign","Ad.group","Network","Ad.group.state","Impressions","CTR","Avg..CPC","Clicks","Cost","Avg..session.duration..seconds.","Bounce.rate","Click.Assisted.Conv.","Click.conversion.rate","Conversions","View.through.conv.","Search.Impr..share","Avg..position"
2015-03-12,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",65,"18.46%",12.288333,12,147.46,0,"0.00%",0,"25.00%",3,0,"100.00%",1
2015-03-13,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",4,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"66.67%",4
2015-03-30,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",43,"25.58%",13.536364,11,148.9,0,"0.00%",0,"0.00%",0,0,"100.00%",1.5
2015-03-26,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",20,"15.00%",14.21,3,42.63,0,"0.00%",0,"33.33%",1,0,"100.00%",1.1
2015-02-14,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-02-23,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",2,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"66.67%",6
2015-03-18,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",42,"21.43%",24.987778,9,224.89,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-22,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",43,"30.23%",17.684615,13,229.9,0,"0.00%",0,"7.69%",1,0,"100.00%",1.1
2015-03-01,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",18,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"100.00%",3.2
2015-03-21,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",15,"6.67%",79.58,1,79.58,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-16,"Asian haus","Asian Haus","Asian Haus-Exact","Search Network","enabled",50,"18.00%",19.355556,9,174.2,0,"0.00%",0,"11.11%",1,0,"100.00%",1
